municipality,park_name
Margate,Lemon Tree Lake Park
Margate,Margate Sports Complex
Margate,Oriole Park
Margate,Rock Island Fitness Park
Margate,Royal Palm Park
Margate,Serino Park
Margate,Southeast Park
Margate,Southgate Park
Margate,Veterans Memorial Park
Margate,Vinson Park
Margate,Winfield Park
Pembroke Pines,108th Avenue Park
Pembroke Pines,111th Avenue Park
Pembroke Pines,Alhambra Park
Pembroke Pines,Ashley Hale Park
Pembroke Pines,Ben Fiorendino Park
Pembroke Pines,Chapel Trail Park
Pembroke Pines,Chapel Trail Nature Preserve
Pembroke Pines,Cinnamon Place
Pembroke Pines,Craig Rupp K-9 Dog Park
Pembroke Pines,Fahey Park
Pembroke Pines,Flamingo Park
Pembroke Pines,Fletcher Park
Pembroke Pines,Jack McCluskey Rainbow Park
Pembroke Pines,Linear Park
Pembroke Pines,Memorial Park
Pembroke Pines,Pasadena Park
Pembroke Pines,Paul J. Maxwell Park
Pembroke Pines,Pembroke Lakes Golf and Tennis Center
Pembroke Pines,Pembroke Shores Park
Pembroke Pines,Pines Recreation Center
Pembroke Pines,Raintree Park
Pembroke Pines,Rose G. Price Park
Pembroke Pines,Silver Lakes Park North
Pembroke Pines,Silver Lakes Park South
Pembroke Pines,Spring Valley Park
Pembroke Pines,Steven L. Josias Dog and Equestrian Park
Pembroke Pines,Tanglewood Park
Pembroke Pines,Towngate Park
Pembroke Pines,Walden Lakes Park
Pembroke Pines,Walnut Creek Park
Pembroke Pines,West Pines Soccer Park and Preserve
Pembroke Pines,William B. Armstrong Dream Park
Plantation,Plantation Central Park
Plantation,Coco Plum Park
Plantation,Country Club Park
Plantation,Deicke Park
Plantation,Fig Tree Park
Plantation,Fumpston Park
Plantation,Hoffman Park
Plantation,Jacaranda Lakes Park
Plantation,Jack Carter Harmony Park
Plantation,Jim Ward Park
Plantation,Marcano Estates Park
Plantation,Melaleuca Park
Plantation,Mini Park North
Plantation,Mini Park South
Plantation,Mirror Lake Park
Plantation,Multicultural Park
Plantation,PAL Park-Roy Salmon Stadium
Plantation,Park East Park
Plantation,Park East Trailhead
Plantation,Pine Island Park
Plantation,Plantation Acres
Plantation,Tara Park
Plantation,Plantation Botanical Garden
Plantation,Plantation Business Park
Plantation,Plantation North Acres
Plantation,Plantation Point Park
Plantation,Plantation Preserve Park & Linear Trail
Plantation,Plantation Woods-Kennedy Park
Plantation,Pop Travers Park
Plantation,Rae Carole Armstrong Liberty Tree Park
Plantation,Seminole Park
Plantation,South Bel Air Park
Plantation,Sunset Park
Plantation,Thrower Park
Plantation,Veterans Park
Plantation,Volunteer Park
Plantation,Woodbury Park
Pompano Beach,Annie Adderly Gillis Park
Pompano Beach,Apollo Park
Pompano Beach,Avondale Park
Pompano Beach,Canine Corner Dog Park
Pompano Beach,Centennial Park
Pompano Beach,Cresthaven Park
Pompano Beach,Coleman Park
Pompano Beach,Exchange Club Park
Pompano Beach,Fairview Park
Pompano Beach,Founders Park
Pompano Beach,Pompano Beach Golf Course
Pompano Beach,Harbor's Edge Park
Pompano Beach,Hillsboro Inlet Park
Pompano Beach,Highlands Park
Pompano Beach,Hunters Manor Park
Pompano Beach,George Brummer Park
Pompano Beach,Bill Keith Park
Pompano Beach,Indian Mound Park
Pompano Beach,Jackson Park
Pompano Beach,Kestler Field
Pompano Beach,Lake Santa Barbara Park
Pompano Beach,Lovely Park
Pompano Beach,Marine Drive Park
Pompano Beach,McNab Park
Pompano Beach,McNair Park & Recreation Center
Pompano Beach,Mitchell Moore Park-Westside Park
Pompano Beach,North Pompano Park
Pompano Beach,North Ocean Park
Pompano Beach,North Riverside Park
Pompano Beach,Sergeant Kip Jacoby Park
Pompano Beach,Novelty Park
Pompano Beach,Sand and Spurs Equestrian Park
Pompano Beach,Sandspur Park
Pompano Beach,Scott Winters Memorial Park
Pompano Beach,S.E. 13 Street Park
Pompano Beach,S.E. 15 Street Park
Pompano Beach,Sgt. Chris Reyka Memorial Park
Sunrise,City Park
Sunrise,Cypress Preserve Park
Sunrise,Flamingo Park
Sunrise,Flamingo Road Linear Park
Sunrise,Lakeside Park
Sunrise,Nob Hill Soccer Club Park
Sunrise,Oak Hammock-Passive Park
Sunrise,Oscar Wind Park
Sunrise,Pawgrass at Welleby Park
Sunrise,Sawgrass Sanctuary Park
Sunrise,Shotgun Road Linear Park
Sunrise,Sunrise Athletic Complex
Sunrise,Sunrise Golf Village Park
Sunrise,Sunrise Sportsplex
Sunrise,Sunrise Tennis Club
Sunrise,The Bridges at Springtree Golf Club
Sunrise,Village Square Park
Sunrise,Welleby Park
Tamarac,Caporella Aquatic Center
Tamarac,Caporella Park
Tamarac,Mainlands Park
Tamarac,Sunset Point Park
Tamarac,Swim Central Annex Park
Tamarac,Tamarac Recreation Center
Tamarac,Tamarac Sports Complex
Tamarac,Tamarac Veterans Park-Dog Park
Tamarac,Tephford Park
Tamarac,Waters Edge Park
Weston,Bonaventure Park
Weston,Country Isles Park
Weston,Eagle Point Park
Weston,Emerald Estates Park
Weston,Gator Run Park
Weston,Heron Park
Weston,Indian Trace Park
Weston,Library Park
Weston,Peace Mound Park
Weston,Regional Park
Weston,Tequestra Trace Park
Weston,Town Center Park
Weston,Vista Park
Weston,Weston Racquet Club 
Weston,Windmill Ranch Park
West Park,McTyre Park
West Park,Mary Saunders Park
West Park,Water Tower Park
Wilton Manors,Colohatchee Park
Wilton Manors,Donn Eisele Park
Wilton Manors,Hagen Park
Wilton Manors,Island City Park Preserve
Wilton Manors,M.E. DePalma Park
Wilton Manors,Mickel Park
Wilton Manors,Richardson Historic Park and Nature Preserve
Davie,Davie Pine Island Park
Davie,Bergeron Park
Davie,Berman Park
Davie,Betty Booth Roberts Park
Davie,Driftwood Estates Park
Davie,East Davie Nature Park
Davie,Falcon Lea Park
Davie,Firefighters Park
Davie,James Ale Memorial Park
Davie,Joy Yoder Equestrian-West View Park
Davie,Lange Park
Davie,Liberty Park
Davie,Orange Drive Linear Park
Davie,Math Igler Citrus Park
Davie,Oak Hill Equestrian Park
Davie,Owls Lookout Park
Davie,Palomino Park
Davie,Peaceful Ridge Park
Davie,Potter Park
Davie,Reflections Park
Davie,Robbins Preserve
Davie,Shenandoah Park
Davie,Silver Lake Park
Davie,Sunny Lake Bird Sanctuary
Davie,The Park at Waverly
Davie,Veterans Park
Davie,Waterford Park
Davie,Wes Griffin Park
Davie,Westridge Park
Davie,Wolf Lake Park
Miramar,19th Street Park
Miramar,Ansin Sports Complex
Miramar,Beauty Park
Miramar,Beekman Park
Miramar,Bernard Park
Miramar,Civic Center Park
Miramar,Country Club Ranches
Miramar,Fairway Park
Miramar,Flamingo Estates Park
Miramar,Forcina Field
Miramar,Forzano Field
Miramar,Harbour Lakes
Miramar,Historic Miramar Aquatic Complex
Miramar,Huntington Park North & South
Miramar,Island Park
Miramar,Lakeshore Park
Miramar,Linear Park North & South
Miramar,Miramar Athletic Park
Miramar,Miramar Isles Park
Miramar,Miramar Regional Park
Miramar,Monarch Lakes Park
Miramar,Perry Park-Wellman Field
Miramar,Progress Park
Miramar,River Run Park
Miramar,Sawyer Park
Miramar,Sheraton Park
Miramar,Shirley Branca Park
Miramar,Silver Lakes Tennis Complex
Miramar,Silver Shores Park
Miramar,Veteran's Memorial Park
Miramar,Vizcaya Park
North Lauderdale,Bicentennial Park
North Lauderdale,Braeburn Park
North Lauderdale,Broadview Community Park
North Lauderdale,Carl Fusco Park
North Lauderdale,Champions Hall Park
North Lauderdale,Hampton Pines Park
North Lauderdale,Highland Park
North Lauderdale,Jaycee Park
North Lauderdale,Landings Park
North Lauderdale,North Lauderdale Field
North Lauderdale,North Lauderdale Sports Complex
North Lauderdale,Pompano Park
North Lauderdale,Silver Lakes Park
North Lauderdale,TOT Park
North Lauderdale,Veterans Memorial 
North Lauderdale,Woodville Park
Lauderdale by the Sea,El Prado Park
Lauderdale by the Sea,Friedt Park
Lauderdale by the Sea,Washingtonia Park
Pembroke Park,Patrick Behan Park
Pembroke Park,Raymond P. Olgesby Preserve-Pembroke Park Preserve
Southwest Ranches,Sunshine Ranches Equestrian Park
Southwest Ranches,Trailside Park
Southwest Ranches,Southwest Meadows Sanctuary
Southwest Ranches,Calusa Corners Park
Southwest Ranches,Rolling Oaks Park
Southwest Ranches,Country Estates Fishing Hole Park
Southwest Ranches,Frontier Trails Park
